Source,Target
58595,411
58595,129
12405,9325
12405,11450
12405,283683
12405,20529
12405,283709
378064,376660
378064,449176
378064,76726
378064,10229
378064,286565
31011,181886
31011,4011
31011,550
31011,627
31011,381283
6977,4836
6977,101
6977,189
6977,949
6977,156022
416194,14161
416194,475210
416194,254128
416194,76649
416194,11123
437586,449176
437586,8363
437586,10229
437586,85350
437586,11887
1538,156022
1538,136795
1538,562
1538,90
1538,9401
146233,37645
146233,345887
146233,4771
146233,984
146233,11423
475094,857
475094,369885
475094,334522
475094,497916
475094,11287
205587,1645
205587,389
205587,396371
205587,314365
205587,413362
171274,769
171274,10734
171274,1949
171274,9880
171274,8966
19913,50544
19913,521
19913,38
19913,862
19913,489
536176,419546
536176,551095
536176,397403
536176,422261
536176,511457
45317,481117
45317,1578
45317,9991
45317,396371
45317,389015
454652,10161
454652,266856
454652,443009
454652,451915
454652,487558
266856,443009
266856,363676
266856,487558
266856,451915
266856,769
371638,8966
371638,769
371638,9880
371638,433498
371638,454983
84892,398818
84892,449176
84892,426613
84892,376867
84892,308369
18240,9813
18240,11631
18240,35
18240,437557
18240,634
396461,949
396461,627
396461,396371
396461,617
396461,22705
400928,52449
400928,8841
400928,8618
400928,10830
400928,437670
13223,311
13223,345887
13223,245891
13223,277216
13223,53932
314365,205587
314365,396371
314365,376867
314365,446354
314365,9800
341174,84892
341174,22705
341174,101299
341174,336843
341174,8966
338766,339692
338766,429200
338766,1696
338766,475
338766,8987
254,244
254,58
254,329
254,497
254,135397
333371,275
333371,146233
333371,345887
333371,562
333371,1571
37799,65754
37799,201088
37799,446807
37799,15472
37799,24253
70,1371
70,1374
70,1375
70,1367
70,1366
277216,14
277216,73
277216,949
277216,112160
277216,400579
489925,376660
489925,9779
489925,411741
489925,12689
489925,33217
416477,772
416477,303991
416477,429200
416477,2064
416477,333348
345920,334541
345920,74997
345920,8913
345920,473149
345920,238636
335797,260514
335797,9836
335797,9598
335797,9447
335797,258509
39254,2048
39254,198184
39254,9991
39254,376867
39254,604
9693,101299
9693,604
9693,605
9693,76341
9693,20504
385448,767
385448,671
385448,672
385448,673
385448,674
121046,149465
121046,149468
121046,149467
121046,147371
121046,4348
512412,10734
512412,278
512412,500
512412,161
512412,398175
20497,433
20497,20352
20497,9762
20497,634
20497,342473
227306,334522
227306,324786
227306,424
227306,826
227306,423
385360,281957
385360,395834
385360,442249
385360,345887
385360,470229
10947,11887
10947,13649
10947,313369
10947,74018
10947,4951
303991,14
303991,194662
303991,400579
303991,370663
303991,429200
390062,314095
390062,101299
390062,627
390062,281957
390062,336843
65754,60670
65754,1949
65754,210577
65754,392044
65754,395834
253412,9350
253412,281957
253412,399402
253412,290512
253412,44115
44826,12155
44826,11224
44826,862
44826,671
44826,674
274857,19957
274857,762
274857,18937
274857,6520
274857,616
14574,423
14574,424
14574,289
14574,369885
14574,637
379149,281957
379149,345887
379149,238636
379149,4836
379149,49021
443463,8966
443463,398181
443463,414425
443463,249164
443463,466282
554600,49026
554600,87827
554600,201088
554600,267860
554600,15927
1949,12150
1949,16995
1949,984
1949,769
1949,807
83542,604
83542,605
83542,500664
83542,76341
83542,335984
4771,395990
4771,949
4771,398181
4771,345887
4771,339692
10184,38
10184,261470
10184,451925
10184,8390
10184,11224
347984,646
347984,657
347984,667
347984,708
347984,668
9762,634
9762,433
9762,11631
9762,437557
9762,297762
50646,63492
50646,844
50646,4148
50646,8390
50646,111969
296098,27576
296098,954
296098,1247
296098,1374
296098,691
290098,52371
290098,370663
290098,22705
290098,258480
290098,71672
147441,487558
147441,381284
147441,9837
147441,414425
147441,50014
308266,4771
308266,2503
308266,400535
308266,106646
308266,184
440161,682
440161,8966
440161,429
440161,510
440161,9880
258480,376867
258480,546
258480,48650
258480,112160
258480,426613
13885,769
13885,19908
13885,458594
13885,398181
13885,442249
414425,157386
414425,8966
414425,398181
414425,857
414425,449176
418827,53932
418827,10068
418827,345
418827,74997
418827,405817
399366,458594
399366,398181
399366,281957
399366,238636
399366,381288
346685,2501
346685,64682
346685,77
346685,2502
346685,2503
258216,22705
258216,249397
258216,112160
258216,53932
258216,4247
332567,578
332567,135397
332567,345940
332567,579
332567,44115
385332,101
385332,345887
385332,281957
385332,311
385332,77
340666,340613
340666,222935
340666,185
340666,2503
340666,2501
381289,101299
381289,336843
381289,281957
381289,8966
381289,9880
382591,293768
382591,433
382591,11631
382591,122906
382591,118
2567,363676
2567,769
2567,640
2567,424
2567,424694
513574,1788
513574,85373
513574,68817
513574,44214
513574,20497
142,745
142,376867
142,449176
142,424694
142,2024
1491,155
1491,812
1491,272
1491,1924
1491,1452
333348,51052
333348,11881
333348,772
333348,9479
333348,8871
12162,2502
12162,600
12162,238636
12162,336843
12162,405775
17431,157336
17431,335984
17431,604
17431,605
17431,500664
207932,392044
207932,281957
207932,4771
207932,445954
207932,769
261023,156022
261023,769
261023,311
261023,395834
261023,339103
201088,5503
201088,2502
201088,27576
201088,213
201088,2503
314095,390062
314095,120
314095,278927
314095,8966
314095,769
413362,445954
413362,18587
413362,17494
413362,4771
413362,96
109424,58
109424,1865
109424,156022
109424,166426
109424,381288
8328,65
8328,44214
8328,277216
8328,650
8328,71
393519,449176
393519,26280
393519,10938
393519,184352
393519,376867
1246,1366
1246,1375
1246,1367
1246,1371
1246,1374
157386,449176
157386,272693
157386,308369
157386,286565
157386,197033
14047,443009
14047,363676
14047,487558
14047,324786
14047,451915
37958,57165
37958,18823
37958,563
37958,1417
37958,10323
489927,400928
489927,1427
489927,11393
489927,9428
489927,334
75780,4771
75780,357096
75780,11423
75780,37645
75780,392044
429200,769
429200,398181
429200,339692
429200,169917
429200,398175
399019,370663
399019,273153
399019,9813
399019,297762
399019,258480
561,408220
561,155
561,272
561,1487
561,49026
394117,376867
394117,17130
394117,627
394117,13
394117,382591
168672,769
168672,1422
168672,156022
168672,481117
168672,339103
28178,13
28178,489
28178,862
28178,19913
28178,68718
417812,84892
417812,340613
417812,8966
417812,64682
417812,398818
399170,949
399170,531593
399170,339403
399170,429203
399170,520360
507419,1969
507419,416160
507419,500919
507419,429203
507419,353070
